tool	mode	operation	search_key	machine_fields	version
print_mvs_product_titles_from_family.bat	human	product_titles_from_family	family	family,relationship_type,confidence,product_title	0.1.0
read_mvs_product_titles_from_family.bat	machine	product_titles_from_family	family	family,relationship_type,confidence,product_title	0.1.0
print_mvs_product_families_from_title.bat	human	product_families_from_title	product_title	product_title,family,relationship_type,confidence	0.1.0
read_mvs_product_families_from_title.bat	machine	product_families_from_title	product_title	product_title,family,relationship_type,confidence	0.1.0
print_mvs_product_ids_from_family.bat	human	product_ids_from_family	family	family,product_title,snapshot,source_file,id,confidence	0.1.0
read_mvs_product_ids_from_family.bat	machine	product_ids_from_family	family	family,product_title,snapshot,source_file,id,confidence	0.1.0
print_mvs_product_families_from_id.bat	human	product_families_from_id	id	id,snapshot,source_file,product_title,family,relationship_type,confidence	0.1.0
read_mvs_product_families_from_id.bat	machine	product_families_from_id	id	id,snapshot,source_file,product_title,family,relationship_type,confidence	0.1.0
print_mvs_product_dates_from_family.bat	human	product_dates_from_family	family	family,product_title,snapshot,source_file,date,id,confidence	0.1.0
read_mvs_product_dates_from_family.bat	machine	product_dates_from_family	family	family,product_title,snapshot,source_file,date,id,confidence	0.1.0
print_mvs_product_families_from_date.bat	human	product_families_from_date	date	date,snapshot,source_file,id,product_title,family,relationship_type,confidence	0.1.0
read_mvs_product_families_from_date.bat	machine	product_families_from_date	date	date,snapshot,source_file,id,product_title,family,relationship_type,confidence	0.1.0
print_mvs_product_filenames_from_family.bat	human	product_filenames_from_family	family	family,product_title,snapshot,source_file,product_id,filename,confidence	0.1.0
read_mvs_product_filenames_from_family.bat	machine	product_filenames_from_family	family	family,product_title,snapshot,source_file,product_id,filename,confidence	0.1.0
print_mvs_product_families_from_filename.bat	human	product_families_from_filename	filename	filename,snapshot,source_file,product_id,product_title,family,relationship_type,confidence	0.1.0
read_mvs_product_families_from_filename.bat	machine	product_families_from_filename	filename	filename,snapshot,source_file,product_id,product_title,family,relationship_type,confidence	0.1.0
print_mvs_product_hashes_from_family.bat	human	product_hashes_from_family	family	family,product_title,snapshot,source_file,product_id,filename,algorithm,hash,confidence	0.1.0
read_mvs_product_hashes_from_family.bat	machine	product_hashes_from_family	family	family,product_title,snapshot,source_file,product_id,filename,algorithm,hash,confidence	0.1.0
print_mvs_product_families_from_hash.bat	human	product_families_from_hash	hash	hash,algorithm,filename,snapshot,source_file,product_id,product_title,family,relationship_type,confidence	0.1.0
read_mvs_product_families_from_hash.bat	machine	product_families_from_hash	hash	hash,algorithm,filename,snapshot,source_file,product_id,product_title,family,relationship_type,confidence	0.1.0
print_mvs_product_snapshots_from_family.bat	human	product_snapshots_from_family	family	family,product_title,snapshot,evidence_sources,confidence	0.1.0
read_mvs_product_snapshots_from_family.bat	machine	product_snapshots_from_family	family	family,product_title,snapshot,evidence_sources,confidence	0.1.0
print_mvs_product_families_from_snapshot.bat	human	product_families_from_snapshot	snapshot	snapshot,product_title,evidence_sources,family,relationship_type,confidence	0.1.0
read_mvs_product_families_from_snapshot.bat	machine	product_families_from_snapshot	snapshot	snapshot,product_title,evidence_sources,family,relationship_type,confidence	0.1.0
print_mvs_product_family_parents_from_family.bat	human	product_family_parents_from_family	child_family	child_family,parent_family,relationship_type,confidence,basis	0.1.0
read_mvs_product_family_parents_from_family.bat	machine	product_family_parents_from_family	child_family	child_family,parent_family,relationship_type,confidence,basis	0.1.0
print_mvs_product_family_children_from_family.bat	human	product_family_children_from_family	parent_family	parent_family,child_family,relationship_type,confidence,basis	0.1.0
read_mvs_product_family_children_from_family.bat	machine	product_family_children_from_family	parent_family	parent_family,child_family,relationship_type,confidence,basis	0.1.0
print_mvs_product_notes_from_family.bat	human	product_notes_from_family	family	family,product_title,snapshot,source_file,source_id,note_text,raw_html_sha256,confidence	0.1.0
read_mvs_product_notes_from_family.bat	machine	product_notes_from_family	family	family,product_title,snapshot,source_file,source_id,note_text,raw_html_sha256,confidence	0.1.0
print_mvs_product_releases_from_family.bat	human	product_releases_from_family	family	family,product_title,release,specific_release_family,broad_release_family,confidence	0.1.0
read_mvs_product_releases_from_family.bat	machine	product_releases_from_family	family	family,product_title,release,specific_release_family,broad_release_family,confidence	0.1.0
build_mvs_product_family_index.bat	builder	build_index	archive-root	normalized index tables	0.1.0
