source.present.mvs_ids.txt	1
source.present.mvs_dates.txt	1
source.present.mvs.txt	1
source.present.mvs_names.txt	1
source.present.mvs_notes.html	1
source.present.mvs.sha1	1
source.present.mvs.sha256	1
products.mvs_ids.rows	1985
products.mvs_dates.rows	1985
products.mvs.sections	1985
products.mvs.unique_ids	1985
products.mvs.unique_titles	1981
product_files.rows	46795
product_files.unique_filenames	45596
product_files.unique_hashes	45418
product_files.sha1_rows	46795
product_files.sha256_rows	0
product_files.product_ids_with_files	1965
product_files.product_ids_without_files	20
product_files.max_rows_per_product_id	318
product_files.reused_filename_groups	902
products.id_min	1
products.id_max	6837
products.date_min	1998-04-22T20:11:00
products.date_max	2020-09-22T14:00:00
variants.sections	46868
variants.rows	46868
variants.unique_titles	44991
variants.unique_filenames	45596
variants.unique_ids	1965
variants.ids_matching_product_ids	1965
variants.ids_not_in_product_ids	0
variants.max_sections_per_id	318
variants.repeated_id_groups	1595
notes.records	787
notes.unique_titles	786
notes.product_ids_with_notes	790
notes.product_ids_without_notes	1195
notes.duplicate_title_groups	1
sha1.rows	46795
sha1.unique_hashes	45418
sha1.unique_filenames	45596
sha256.rows	9204
sha256.unique_hashes	9130
sha256.unique_filenames	9132
hash_records.rows	149589
hash_records.unique_hashes	54548
hash_records.unique_filenames	45596
hash_records.unique_sha1	45418
hash_records.unique_sha256	9130
integrity.duplicate_product_ids	0
integrity.duplicate_product_titles	4
integrity.duplicate_product_filenames	902
integrity.orphan_ids_ids_to_dates	0
integrity.orphan_ids_ids_to_mvs	0
cross_domain.product_ids_not_in_mvs_names_ids	20
integrity.orphan_filenames_mvs_to_names	0
integrity.orphan_filenames_names_to_mvs	0
integrity.orphan_filenames_mvs_to_sha1	0
integrity.orphan_filenames_names_to_sha1	0
integrity.orphan_filenames_mvs_to_sha256	36464
integrity.orphan_filenames_names_to_sha256	36464
integrity.unparsed.mvs.txt	73
integrity.unparsed.mvs_names.txt	73
integrity.unparsed.mvs.sha1	73
integrity.unparsed.mvs.sha256	0
integrity.unparsed.mvs_ids.txt	0
integrity.unparsed.mvs_dates.txt	0
integrity.unparsed.total	219
