tool	mode	search_source	fields	version
print_mvs_dump_id_from_filename.bat	human	filename	id	0.1.0
read_mvs_dump_id_from_filename.bat	machine	filename	id	0.1.0
print_mvs_dump_id_from_hash.bat	human	hash	id	0.1.0
read_mvs_dump_id_from_hash.bat	machine	hash	id	0.1.0
print_mvs_dump_title_from_filename.bat	human	filename	title	0.1.0
read_mvs_dump_title_from_filename.bat	machine	filename	title	0.1.0
print_mvs_dump_title_from_hash.bat	human	hash	title	0.1.0
read_mvs_dump_title_from_hash.bat	machine	hash	title	0.1.0
print_mvs_dump_date_from_filename.bat	human	filename	date	0.1.0
read_mvs_dump_date_from_filename.bat	machine	filename	date	0.1.0
print_mvs_dump_date_from_hash.bat	human	hash	date	0.1.0
read_mvs_dump_date_from_hash.bat	machine	hash	date	0.1.0
print_mvs_dump_note_from_filename.bat	human	filename	note	0.1.0
read_mvs_dump_note_from_filename.bat	machine	filename	note	0.1.0
print_mvs_dump_note_from_hash.bat	human	hash	note	0.1.0
read_mvs_dump_note_from_hash.bat	machine	hash	note	0.1.0
print_mvs_dump_filenames_from_filename.bat	human	filename	filename	0.1.0
read_mvs_dump_filenames_from_filename.bat	machine	filename	filename	0.1.0
print_mvs_dump_filenames_from_hash.bat	human	hash	filename	0.1.0
read_mvs_dump_filenames_from_hash.bat	machine	hash	filename	0.1.0
print_mvs_dump_id_title_from_filename.bat	human	filename	id,title	0.1.0
read_mvs_dump_id_title_from_filename.bat	machine	filename	id,title	0.1.0
print_mvs_dump_id_title_from_hash.bat	human	hash	id,title	0.1.0
read_mvs_dump_id_title_from_hash.bat	machine	hash	id,title	0.1.0
print_mvs_dump_id_date_from_filename.bat	human	filename	id,date	0.1.0
read_mvs_dump_id_date_from_filename.bat	machine	filename	id,date	0.1.0
print_mvs_dump_id_date_from_hash.bat	human	hash	id,date	0.1.0
read_mvs_dump_id_date_from_hash.bat	machine	hash	id,date	0.1.0
print_mvs_dump_id_title_date_from_filename.bat	human	filename	id,title,date	0.1.0
read_mvs_dump_id_title_date_from_filename.bat	machine	filename	id,title,date	0.1.0
print_mvs_dump_id_title_date_from_hash.bat	human	hash	id,title,date	0.1.0
read_mvs_dump_id_title_date_from_hash.bat	machine	hash	id,title,date	0.1.0
print_mvs_dump_id_title_note_from_filename.bat	human	filename	id,title,note	0.1.0
read_mvs_dump_id_title_note_from_filename.bat	machine	filename	id,title,note	0.1.0
print_mvs_dump_id_title_note_from_hash.bat	human	hash	id,title,note	0.1.0
read_mvs_dump_id_title_note_from_hash.bat	machine	hash	id,title,note	0.1.0
print_mvs_dump_id_title_date_note_from_filename.bat	human	filename	id,title,date,note	0.1.0
read_mvs_dump_id_title_date_note_from_filename.bat	machine	filename	id,title,date,note	0.1.0
print_mvs_dump_id_title_date_note_from_hash.bat	human	hash	id,title,date,note	0.1.0
read_mvs_dump_id_title_date_note_from_hash.bat	machine	hash	id,title,date,note	0.1.0
print_mvs_dump_title_date_from_filename.bat	human	filename	title,date	0.1.0
read_mvs_dump_title_date_from_filename.bat	machine	filename	title,date	0.1.0
print_mvs_dump_title_date_from_hash.bat	human	hash	title,date	0.1.0
