tool	operation	mode	search_source	fields	algorithm_filter	source_file	diagnostic_kind	version
print_mvs_dump_filenames_from_id.bat	detail_query	human	id	filename				0.1.2
read_mvs_dump_filenames_from_id.bat	detail_query	machine	id	filename				0.1.2
print_mvs_dump_hashes_from_id.bat	detail_query	human	id	hash				0.1.2
read_mvs_dump_hashes_from_id.bat	detail_query	machine	id	hash				0.1.2
print_mvs_dump_filename_hashes_from_id.bat	detail_query	human	id	filename,hash				0.1.2
read_mvs_dump_filename_hashes_from_id.bat	detail_query	machine	id	filename,hash				0.1.2
print_mvs_dump_filename_hash_algorithm_source_from_id.bat	detail_query	human	id	filename,hash,algorithm,source				0.1.2
read_mvs_dump_filename_hash_algorithm_source_from_id.bat	detail_query	machine	id	filename,hash,algorithm,source				0.1.2
print_mvs_dump_id_title_filenames_from_id.bat	detail_query	human	id	id,title,filename				0.1.2
read_mvs_dump_id_title_filenames_from_id.bat	detail_query	machine	id	id,title,filename				0.1.2
print_mvs_dump_id_title_filenames_hashes_from_id.bat	detail_query	human	id	id,title,filename,hash				0.1.2
read_mvs_dump_id_title_filenames_hashes_from_id.bat	detail_query	machine	id	id,title,filename,hash				0.1.2
print_mvs_dump_title_filenames_hashes_from_id.bat	detail_query	human	id	title,filename,hash				0.1.2
read_mvs_dump_title_filenames_hashes_from_id.bat	detail_query	machine	id	title,filename,hash				0.1.2
print_mvs_dump_id_title_date_note_filenames_hashes_from_id.bat	detail_query	human	id	id,title,date,note,filename,hash				0.1.2
read_mvs_dump_id_title_date_note_filenames_hashes_from_id.bat	detail_query	machine	id	id,title,date,note,filename,hash				0.1.2
print_mvs_dump_filenames_from_title.bat	detail_query	human	title	filename				0.1.2
read_mvs_dump_filenames_from_title.bat	detail_query	machine	title	filename				0.1.2
print_mvs_dump_hashes_from_title.bat	detail_query	human	title	hash				0.1.2
read_mvs_dump_hashes_from_title.bat	detail_query	machine	title	hash				0.1.2
print_mvs_dump_filename_hashes_from_title.bat	detail_query	human	title	filename,hash				0.1.2
read_mvs_dump_filename_hashes_from_title.bat	detail_query	machine	title	filename,hash				0.1.2
print_mvs_dump_filename_hash_algorithm_source_from_title.bat	detail_query	human	title	filename,hash,algorithm,source				0.1.2
read_mvs_dump_filename_hash_algorithm_source_from_title.bat	detail_query	machine	title	filename,hash,algorithm,source				0.1.2
print_mvs_dump_id_title_filenames_from_title.bat	detail_query	human	title	id,title,filename				0.1.2
read_mvs_dump_id_title_filenames_from_title.bat	detail_query	machine	title	id,title,filename				0.1.2
print_mvs_dump_id_title_filenames_hashes_from_title.bat	detail_query	human	title	id,title,filename,hash				0.1.2
read_mvs_dump_id_title_filenames_hashes_from_title.bat	detail_query	machine	title	id,title,filename,hash				0.1.2
print_mvs_dump_title_filenames_hashes_from_title.bat	detail_query	human	title	title,filename,hash				0.1.2
read_mvs_dump_title_filenames_hashes_from_title.bat	detail_query	machine	title	title,filename,hash				0.1.2
print_mvs_dump_id_title_date_note_filenames_hashes_from_title.bat	detail_query	human	title	id,title,date,note,filename,hash				0.1.2
read_mvs_dump_id_title_date_note_filenames_hashes_from_title.bat	detail_query	machine	title	id,title,date,note,filename,hash				0.1.2
print_mvs_dump_hashes_from_filename.bat	detail_query	human	filename	hash				0.1.2
read_mvs_dump_hashes_from_filename.bat	detail_query	machine	filename	hash				0.1.2
print_mvs_dump_filename_hashes_from_filename.bat	detail_query	human	filename	filename,hash				0.1.2
read_mvs_dump_filename_hashes_from_filename.bat	detail_query	machine	filename	filename,hash				0.1.2
print_mvs_dump_filename_hash_algorithm_source_from_filename.bat	detail_query	human	filename	filename,hash,algorithm,source				0.1.2
read_mvs_dump_filename_hash_algorithm_source_from_filename.bat	detail_query	machine	filename	filename,hash,algorithm,source				0.1.2
print_mvs_dump_id_title_filenames_hashes_from_filename.bat	detail_query	human	filename	id,title,filename,hash				0.1.2
read_mvs_dump_id_title_filenames_hashes_from_filename.bat	detail_query	machine	filename	id,title,filename,hash				0.1.2
print_mvs_dump_title_filenames_hashes_from_filename.bat	detail_query	human	filename	title,filename,hash				0.1.2
